Obs,Shark_ID,lon,lat,Month,Day,Year,Season
456,68488,-79.05524727,26.93573572,3,17,2011,Cold
457,68488,-79.0319787,26.94010419,3,18,2011,Cold
458,68488,-79.01678577,26.93960242,3,19,2011,Cold
459,68488,-79.01268232,26.93146486,3,20,2011,Cold
460,68488,-79.0195236,26.91518847,3,21,2011,Cold
461,68488,-79.03230792,26.88303281,3,22,2011,Cold
462,68488,-79.03358845,26.84010156,3,23,2011,Cold
463,68488,-79.05287176,26.78148674,3,24,2011,Cold
464,68488,-79.10256604,26.71831435,3,25,2011,Cold
465,68488,-79.14590961,26.68840045,3,26,2011,Cold
466,68488,-79.14959871,26.70809627,3,27,2011,Cold
467,68488,-79.08030419,26.79755323,3,28,2011,Cold
468,68488,-78.9167174,26.96967457,3,29,2011,Cold
469,68488,-79.07194198,27.28193949,3,30,2011,Cold
470,68488,-79.5250787,27.71512412,3,31,2011,Cold
471,68488,-79.61330965,28.20870368,4,1,2011,Cold
472,68488,-79.34983638,28.66830971,4,2,2011,Cold
473,68488,-78.98645796,29.03441215,4,3,2011,Cold
474,68488,-78.72588536,29.24850636,4,4,2011,Cold
475,68488,-78.77082955,29.25207268,4,5,2011,Cold
476,68488,-79.24985854,29.03192723,4,6,2011,Cold
